precision,seq_len,C1,C2,fn,ms
int8,128,12288,12288,linear_a8_w8_b32_o32,0.4958335876464844
int8,128,12288,12288,linear_a8_w8_b8_o8,0.47428045654296874
int8,128,12288,12288,linear_relu_a8_w8_b8_o8,0.4743971862792969
int8,128,12288,49152,linear_a8_w8_b32_o32,1.4592117919921874
int8,128,12288,49152,linear_a8_w8_b8_o8,1.41602197265625
int8,128,12288,49152,linear_relu_a8_w8_b8_o8,1.412854248046875
int8,128,49152,12288,linear_a8_w8_b32_o32,1.915198974609375
int8,128,49152,12288,linear_a8_w8_b8_o8,1.864460205078125
int8,128,49152,12288,linear_relu_a8_w8_b8_o8,1.8673111572265626
int8,128,49152,49152,linear_a8_w8_b32_o32,5.64724267578125
int8,128,49152,49152,linear_a8_w8_b8_o8,5.63274609375
int8,128,49152,49152,linear_relu_a8_w8_b8_o8,5.64404248046875
int8,256,12288,12288,linear_a8_w8_b32_o32,0.55657421875
int8,256,12288,12288,linear_a8_w8_b8_o8,0.525982177734375
int8,256,12288,12288,linear_relu_a8_w8_b8_o8,0.524126220703125
int8,256,12288,49152,linear_a8_w8_b32_o32,1.668526123046875
int8,256,12288,49152,linear_a8_w8_b8_o8,1.548832763671875
int8,256,12288,49152,linear_relu_a8_w8_b8_o8,1.5481456298828125
int8,256,49152,12288,linear_a8_w8_b32_o32,2.0558232421875
int8,256,49152,12288,linear_a8_w8_b8_o8,2.0323441162109375
int8,256,49152,12288,linear_relu_a8_w8_b8_o8,2.0380277099609376
int8,256,49152,49152,linear_a8_w8_b32_o32,6.14824169921875
int8,256,49152,49152,linear_a8_w8_b8_o8,6.0584599609375
int8,256,49152,49152,linear_relu_a8_w8_b8_o8,6.064009765625
int8,512,12288,12288,linear_a8_w8_b32_o32,0.8942653198242188
int8,512,12288,12288,linear_a8_w8_b8_o8,0.833743896484375
int8,512,12288,12288,linear_relu_a8_w8_b8_o8,0.8318551025390625
int8,512,12288,49152,linear_a8_w8_b32_o32,3.232573974609375
int8,512,12288,49152,linear_a8_w8_b8_o8,2.9872041015625
int8,512,12288,49152,linear_relu_a8_w8_b8_o8,2.98658056640625
int8,512,49152,12288,linear_a8_w8_b32_o32,3.313968017578125
int8,512,49152,12288,linear_a8_w8_b8_o8,3.2593212890625
int8,512,49152,12288,linear_relu_a8_w8_b8_o8,3.25773876953125
int8,512,49152,49152,linear_a8_w8_b32_o32,11.88966015625
int8,512,49152,49152,linear_a8_w8_b8_o8,11.6753662109375
int8,512,49152,49152,linear_relu_a8_w8_b8_o8,11.6756748046875
int8,1024,12288,12288,linear_a8_w8_b32_o32,1.587378173828125
int8,1024,12288,12288,linear_a8_w8_b8_o8,1.466935791015625
int8,1024,12288,12288,linear_relu_a8_w8_b8_o8,1.46344140625
int8,1024,12288,49152,linear_a8_w8_b32_o32,6.2214619140625
int8,1024,12288,49152,linear_a8_w8_b8_o8,5.71077001953125
int8,1024,12288,49152,linear_relu_a8_w8_b8_o8,5.70428662109375
int8,1024,49152,12288,linear_a8_w8_b32_o32,5.81606298828125
int8,1024,49152,12288,linear_a8_w8_b8_o8,5.698591796875
int8,1024,49152,12288,linear_relu_a8_w8_b8_o8,5.69288427734375
int8,1024,49152,49152,linear_a8_w8_b32_o32,22.969587890625
int8,1024,49152,49152,linear_a8_w8_b8_o8,22.26376171875
int8,1024,49152,49152,linear_relu_a8_w8_b8_o8,22.253041015625
fp16,128,12288,12288,linear_a8_w8_b32_o32,0.5167406005859375
fp16,128,12288,12288,linear_a8_w8_b8_o8,0.5160851440429688
fp16,128,12288,12288,linear_relu_a8_w8_b8_o8,0.5229977416992188
fp16,128,12288,49152,linear_a8_w8_b32_o32,2.081123291015625
fp16,128,12288,49152,linear_a8_w8_b8_o8,2.0804326171875
fp16,128,12288,49152,linear_relu_a8_w8_b8_o8,2.117663818359375
fp16,128,49152,12288,linear_a8_w8_b32_o32,3.031005126953125
fp16,128,49152,12288,linear_a8_w8_b8_o8,3.0315029296875
fp16,128,49152,12288,linear_relu_a8_w8_b8_o8,3.0386650390625
fp16,128,49152,49152,linear_a8_w8_b32_o32,10.7706025390625
fp16,128,49152,49152,linear_a8_w8_b8_o8,10.77408984375
fp16,128,49152,49152,linear_relu_a8_w8_b8_o8,10.8037333984375
fp16,256,12288,12288,linear_a8_w8_b32_o32,0.9392593994140624
fp16,256,12288,12288,linear_a8_w8_b8_o8,0.9346099243164062
fp16,256,12288,12288,linear_relu_a8_w8_b8_o8,0.9431715698242188
fp16,256,12288,49152,linear_a8_w8_b32_o32,3.059865478515625
fp16,256,12288,49152,linear_a8_w8_b8_o8,3.05469384765625
fp16,256,12288,49152,linear_relu_a8_w8_b8_o8,3.111525390625
fp16,256,49152,12288,linear_a8_w8_b32_o32,3.15733251953125
fp16,256,49152,12288,linear_a8_w8_b8_o8,3.157761474609375
fp16,256,49152,12288,linear_relu_a8_w8_b8_o8,3.17707666015625
fp16,256,49152,49152,linear_a8_w8_b32_o32,27.4260859375
fp16,256,49152,49152,linear_a8_w8_b8_o8,27.405005859375
fp16,256,49152,49152,linear_relu_a8_w8_b8_o8,27.46813671875
fp16,512,12288,12288,linear_a8_w8_b32_o32,1.5122872314453124
fp16,512,12288,12288,linear_a8_w8_b8_o8,1.5059163818359376
fp16,512,12288,12288,linear_relu_a8_w8_b8_o8,1.5350655517578125
fp16,512,12288,49152,linear_a8_w8_b32_o32,6.22279931640625
fp16,512,12288,49152,linear_a8_w8_b8_o8,6.235931640625
fp16,512,12288,49152,linear_relu_a8_w8_b8_o8,6.362837890625
fp16,512,49152,12288,linear_a8_w8_b32_o32,5.9952470703125
fp16,512,49152,12288,linear_a8_w8_b8_o8,5.9974091796875
fp16,512,49152,12288,linear_relu_a8_w8_b8_o8,6.0295
fp16,512,49152,49152,linear_a8_w8_b32_o32,55.3265625
fp16,512,49152,49152,linear_a8_w8_b8_o8,55.28130078125
fp16,512,49152,49152,linear_relu_a8_w8_b8_o8,55.53989453125
fp16,1024,12288,12288,linear_a8_w8_b32_o32,3.070795654296875
fp16,1024,12288,12288,linear_a8_w8_b8_o8,3.063134765625
fp16,1024,12288,12288,linear_relu_a8_w8_b8_o8,3.1182177734375
fp16,1024,12288,49152,linear_a8_w8_b32_o32,12.2513623046875
fp16,1024,12288,49152,linear_a8_w8_b8_o8,12.2675712890625
fp16,1024,12288,49152,linear_relu_a8_w8_b8_o8,12.5306591796875
fp16,1024,49152,12288,linear_a8_w8_b32_o32,23.997357421875
fp16,1024,49152,12288,linear_a8_w8_b8_o8,23.992673828125
fp16,1024,49152,12288,linear_relu_a8_w8_b8_o8,24.05143359375
fp16,1024,49152,49152,linear_a8_w8_b32_o32,111.240515625
fp16,1024,49152,49152,linear_a8_w8_b8_o8,111.2373203125
fp16,1024,49152,49152,linear_relu_a8_w8_b8_o8,111.7118984375
